,,,,test_task_accuracy,test_task_accuracy,test_concept_accuracy,test_concept_accuracy,CCI,CCI,u2c_f1,u2c_f1,c2y_f1,c2y_f1,concept_leakage,concept_leakage
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,method,M,disagreement_level,,,,,,,,,,,,
Complete_Concept_FMNIST,graph,10,structured_bias,0.9252,0.0015,0.973,0.0002,0.9977,0.0002,0.2821,0.0245,0.3064,0.0041,0.0,0.0
Complete_Concept_FMNIST,intersection,10,high,0.9228,0.0009,0.8387,0.0054,0.2237,0.0553,0.5,0.0,0.0,0.0,0.0,0.0
Complete_Concept_FMNIST,intersection,10,low,0.9261,0.0007,0.9728,0.0003,0.0,0.0,0.7857,0.0,0.129,0.0,0.0,0.0
Complete_Concept_FMNIST,intersection,10,medium,0.9261,0.0007,0.9728,0.0003,0.0,0.0,0.7857,0.0,0.0,0.0,0.0,0.0
Complete_Concept_FMNIST,intersection,10,structured_bias,0.9261,0.0007,0.9728,0.0003,0.0,0.0,0.7857,0.0,0.0,0.0,0.0,0.0
Complete_Concept_FMNIST,majority,10,high,0.9258,0.001,0.9731,0.0002,0.9845,0.0018,0.1679,0.0,0.0,0.0,0.0,0.0
Complete_Concept_FMNIST,majority,10,medium,0.9235,0.0017,0.9626,0.0158,0.8225,0.0189,0.2472,0.0,0.1159,0.0,0.0,0.0
Complete_Concept_FMNIST,majority,10,structured_bias,0.9217,0.0025,0.9529,0.0088,0.8163,0.0157,0.6857,0.0,0.5667,0.0,0.0,0.0
Complete_Concept_FMNIST,union,10,high,0.9251,0.0014,0.9731,0.0002,0.9986,0.0002,0.1667,0.0,0.2051,0.0,0.0,0.0
Complete_Concept_FMNIST,union,10,low,0.9251,0.0006,0.9729,0.0002,0.9988,0.0001,0.2556,0.0,0.25,0.0,0.0,0.0
Complete_Concept_FMNIST,union,10,medium,0.9255,0.001,0.973,0.0003,0.9989,0.0001,0.2336,0.0,0.2427,0.0,0.0,0.0
Complete_Concept_FMNIST,union,10,structured_bias,0.9257,0.0008,0.9731,0.0002,0.9989,0.0002,0.25,0.0,0.2427,0.0,0.0,0.0
